sample_id,thread_id,original_asker_id,num_unique_customer_authors,multi_author_merge,customer_message,spotify_reply,start_time,end_time
1,20569,738041,1,False,"@115888 where is perfect velvet

@SpotifyCares u see @15672 they are waiting for u","@738041 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /JT",Fri Nov 17 09:50:00 +0000 2017,Fri Nov 17 10:37:19 +0000 2017
2,12841,128149,1,False,"why cant you change the song on spotify from the lock screen or swipe up menu any more @SpotifyCares

@SpotifyCares iphone 7plus and ive got the newest version of spotify

@SpotifyCares ios version 8.4.25 and ios 11.0.3

@SpotifyCares I’ve tried both of those and neither worked","@128149 Hey Georgie, that doesn't sound right! What device, operating system, and Spotify version are you using? We'll see what we can suggest /JE

@128149 Thanks. We're almost there, but we need the exact iOS and Spotify versions you have installed on your phone. We'll be right here waiting /LP

@128149 Got it. Does logging out and back in help? Restarting your device (hold Sleep/Wake + Volume Down for 10 seconds) is also worth a shot /LP

@128149 Hmm. Could you send us your account's username or email address via DM? We'll take a look backstage /LP https://t.co/ldFdZRiNAt",Wed Nov 01 14:22:13 +0000 2017,Wed Nov 01 18:45:42 +0000 2017
3,14071,479479,1,False,@115888 hey can you guys make an update where i can upload pictures + descriptions on playlists on the app,@479479 Hey Miranda! We'll gladly let the right folks know it's something you'd like to see. Give us a shout if you need us 🙂 /BH,Sat Nov 04 01:09:38 +0000 2017,Sat Nov 04 02:35:48 +0000 2017
4,14252,487884,1,False,"@SpotifyCares My song on Spotify seems to have a few audible glitches, and it only happens on @115888 https://t.co/3jKDyLrMp7

@SpotifyCares 9 seconds to 2:37. Any device. But it's not present on other streaming services","@487884 Hey, help's here! Can you let us know at which point of the track you're getting the glitches? Does this happen with any device? /CO

@487884 Hmm. We'd like to share more info with you in private. Could you send us a DM? /CO https://t.co/ldFdZRiNAt",Sat Nov 04 14:34:47 +0000 2017,Sat Nov 04 17:38:35 +0000 2017
5,15729,529915,1,False,In desperate need of this Spotify iPhone X update,"@529915 We don't have anything to share yet, but we'll be sure to post updates on this. Give us a shout if you need anything else /CO",Tue Nov 07 19:56:19 +0000 2017,Tue Nov 07 20:10:32 +0000 2017
6,18532,679173,1,False,"@SpotifyCares Hi for some strange reason i was charged 14.99 for premium and headspace this month, i havent changed anything and all previous months it has been 4.99 as i am a student. I have changed it back to student now but dont know why it had changed?",@679173 Hi Owen! That doesn't sound good. Can you DM us your account's username or email address? We'll take a look under the hood /DN https://t.co/ldFdZRiNAt,Mon Nov 13 15:06:38 +0000 2017,Mon Nov 13 17:08:38 +0000 2017
7,12899,584936,1,False,@SpotifyCares Not sure if I have a student acc or a regular premium acc. But my acc was charged when I should have a month free. https://t.co/0syFLHTDkk,"@584936 Hey Hanna, we're here to help! Can you DM us your account's username or email address? We'll take a look backstage /JP https://t.co/ldFdZRiNAt",Wed Nov 01 16:05:49 +0000 2017,Wed Nov 01 16:11:07 +0000 2017
8,13699,469696,1,False,"@SpotifyCares I have lost all offline tracks (AGAIN) but have 6GB of spotify files stuck on SD Card that won't delete after uninstall. Help

@SpotifyCares Ok thanks, I will give it a go.","@469696 Hey, sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help out /NY

@469696 Cool! Just keep us in the loop if anything comes your way. We'll be right here waiting /NY",Fri Nov 03 11:00:31 +0000 2017,Fri Nov 03 13:15:04 +0000 2017
9,5751,170378,1,False,"Hey @115888 , I'm getting real tired of not being able to listen to music and have the app crash all the time.  Please fix it. https://t.co/c1kQ9g7Hej

@SpotifyCares It's Spotify version 8.4.22.857 armV7 on a Samsung Galaxy S8+ running Android 7.0

@SpotifyCares Nope. Logged out of Spotify, restated phone, listened to one song on the playlist and it still froze up. https://t.co/OKJuMrXDTC

@SpotifyCares This is the 4th or 5th time I've noticed that this particular song is next in the queue when the app freezes. https://t.co/vRcm1VRcZy

@SpotifyCares Yes, it's on a playlist I follow from you guys. (Viva Latino - Top 50 by Spotify) I don't know if I can remove if the playlist isn't mine.","@170378 Hey, help's here! Can you let us know your device, as well as the Android and Spotify versions? We'll see what we can suggest /JP

@170378 Thanks! Can you try logging out, restarting your phone, and logging back in? Does that make any difference? /JP

@170378 Is this happening on a specific playlist? Can you try removing this track wor a while and see if things will be better? /JP

@170378 Thanks for clarifying. We'd suggest reinstalling the app: https://t.co/46sWVpIvlI. You might need to resync your offline songs after /JP",Mon Oct 16 16:54:37 +0000 2017,Mon Oct 16 20:17:40 +0000 2017
10,9159,562153,1,False,"@117153 I paid the premium Spotify account using Itunes, and my account is still free.","@562153 Hey Daniel, help's here! Can you DM us your account's username and email address? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt",Mon Oct 23 15:13:32 +0000 2017,Mon Oct 23 17:15:59 +0000 2017
