example_id,customer_message,new_drafted_reply,similarity_to_old
E002,I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in,We hear you! It's a great idea to be able to look back at past Discover Weekly playlists. We'd recommend sharing this as a suggestion on our Community site so our team can see it: https://community.spotify.com/t5/Idea-Submissions/idb-p/ideas_submissions /SC,0.10
E007,"@SpotifyCares Can't join the Premium of Family Plan.The error message is either: 4 @ Undefine - Oops something went wrong, please try again

@SpotifyCares Tried Solution: -Clear Cookies, Open in Incognito, Change Devices. Exactly same address. None of these help.","Hey there, we're sorry to hear you're having trouble joining the Family plan. Could you DM us your account email and the address you're using? We'll take a look backstage to see what's going on. /SC https://t.co/ldFdZRiNAt /SC",0.19
E008,Got to love having my @115888 account hacked ...😑 some random person playing Swedish pop music is brilliant https://t.co/oZtfSaZ5Kt,Hey! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage to help you secure your account. /SC https://t.co/ldFdZRiNAt /SC,0.64
E009,"@115888 my account has been hacked! How has this happened. Please sort ASAP, I have emailed the email mailto:__email__

@115888 Please don’t tell me I will have lost all of my playlists??? I can’t login at all

@SpotifyCares",We're sorry to hear this. Please DM us your account's username or email address so we can look into this for you right away. We'll do our best to help you regain access. /SC https://t.co/ldFdZRiNAt /SC,0.11
E023,"@SpotifyCares could you please charge me again, cause at the first time, my limit credit card limit was exceeded...",Hey there! We can certainly look into this for you. Please DM us your account's email address so we can check under the hood: https://t.co/ldFdZRiNAt /SC,0.61
E024,"Hi @115888 is there a way to block artists? I really don't want R Kelly in my life, thanks. Knowing him that momma rolling that body that got every man in here wishin is probably underage.","Hey! We hear you. While this isn't a feature right now, we recommend showing your support for this idea on our community site here: https://t.co/CdI1SY9KZE /SC",0.40
E025,@SpotifyCares I signed up for a student account but I was charged $9.99,Hey there! We're here to help with your student subscription. Could you please DM us the email address associated with your account? We'll take a look backstage and get this sorted for you. /SC,0.52
E027,"My @115888 keeps pausing and turning itself off? (Nobody else is logged in / it’s not synced to anything, I’ve only had it a few days) 🤔

@SpotifyCares Ill have to let you know in a few days, cant tell so soon, it happens over a spread-out time period. Thnx for the advice, Ill give it a try!","Sorry to hear about the playback issues! Could you let us know which device, OS, and Spotify version you're using? Also, does this happen on both WiFi and mobile data? We'll see what we can suggest. /SC",0.06
E029,"@115888 my account has been hacked and you mfks don't have a straightforward link to get help or report this issue.

@SpotifyCares Done",We're sorry to hear about this. Please send us a DM with your account's username or email address so we can take a look backstage and help you secure your account. /SC,0.55
E036,@115888 why is Beyoncé's Lemonade album still not on Spotify? 🤧,"We're always working to add more music, but we don't have info on this album right now. We'll pass your feedback along to our team! /SC",0.35
E040,"@115888 please dont play ads with sound at the bottom of your web player while I'm trying to listen to down with the sickness.

@SpotifyCares Sometimes the web player changes ads, and the one it goes to has volume that interrupts the song being played.

@SpotifyCares Usually it stops but sometimes I have to refresh because it didn't stop and I don't want to listen to fifty seconds of non music audio

@SpotifyCares In the middle of down with the sickness.

@SpotifyCares Well... I haven't tried to log in under incognito because I find no need to to hide my musical tastes from the masses.

@SpotifyCares So no, I haven't logged into the web player with incognito or private browsing

@SpotifyCares Will do",Sorry for the interruption while you're rocking out! We'd like to look into this for you. Could you please DM us your account email address so we can investigate further? /SC,0.34
E041,"If @SpotifyCares had a phone number, my issues could have been fixed this afternoon. But instead I'm up at 1am waiting for a Twitter DM.","Hi there! We're sorry for the wait. We've replied to your DM, so let's continue chatting there to get this sorted for you. /SC",0.29
E051,Hello @SpotifyCares I would like to set up an premium account with my Kuwait bank account/PayPal. Please help! 🙏🏼,Hi! We'd love to help you get set up. Could you DM us your email address? We'll take a look backstage to check the payment options available for your region. /SC https://t.co/ldFdZRiNAt /SC,0.65
E056,@115888 still waiting for the iphone x update!!!,Hey! We understand—we’re working on it as we speak. Stay tuned for updates! /SC,0.50
E057,"@115888 so your app just decides to stop playing music... great! #refund

@SpotifyCares 8.4.23.784 version Spotify
Samsung Galaxy S6
Android v7.0

@SpotifyCares Uninstalled it.. reinstalled.

All working now.. thanks!","Glad to hear it's working now! Thanks for letting us know. If you run into any more trouble, feel free to reach back out. Happy listening! /SC",0.30
E058,@SpotifyCares Good morning to you guys! For some reason my payment for premium wont go thru. Still my card is working normal.,Good morning! Sorry to hear you're having trouble with your payment. Could you please DM us your account's email address? We'll take a look backstage to see what's going on /SC,0.52
E060,@SpotifyCares y'all should make an optuon to listen on seperate devices online with same account. Both of us wanna listen and download music,"Hey! We're afraid that isn't possible right now, as each account is intended for one user at a time. We'll be sure to pass your feedback along to the right team, though! /SC",0.33
E071,"@115888 explain why an app I pay $9.99 monthly for can’t be bothered to update their app, you’ve had over a month to do it this shit. https://t.co/yw9ubCqrqK","We hear your frustration and are always working to improve the app experience. We don't have a specific timeline to share right now, but we appreciate your feedback. Stay tuned for future updates! /SC",0.03
E072,@SpotifyCares @116130 my account has been hacked and email changed.  Please contact to sort asap,"We're sorry to hear this. Please reach out to our support team directly at https://t.co/ZgU70TbP8M so we can secure your account. Once you've done that, please DM us the email address you used on the form so we can assist further. /SC",0.03
E087,"@115888 Two updates since I got my iPhone X and neither of them optimised for the new screen size. I’m sure you have something in the works… any hints? https://t.co/16C8pZXYYk

@SpotifyCares 🔥 🔥 🔥 
Can’t wait!","We're glad you're excited! We don't have any specific details to share just yet, but keep an eye out for future updates. Thanks for your patience! /SC",0.26
E088,"Dear @116130 you are officially shit. Your suggested songs ""feature"" ruins the listening experience turning everything into a @244027 playlist.","Hey there. We're sorry to hear you're not a fan of the suggested songs feature. We're always looking to improve, so we'll be sure to pass your feedback along to our team. You can find more info on managing your playlists here: https://spoti.fi/Help /SC",0.03
E098,"@SpotifyCares I got charged twice, 65php and 195php for my student and family subscription. I did not cont. student subscrpt. semarfepaquet","Hey, we're here to help! Please send us a DM with your account's email address so we can take a look at your billing history and get this sorted for you. /SC https://t.co/ldFdZRiNAt /SC",0.56
E108,@115888 like fr I need to be able to block certain artists cause on the release radar this came up and I don’t know what I did to deserve this disgusting music on my release radar https://t.co/QlqvHRXupI,"We hear you! While it's not possible to block artists right now, we recommend showing your support for this idea on our community site here: https://t.co/CdI1SY9KZE. This helps our team track interest in new features. /SC",0.09
E109,wHERE IS REPUTATION ON SPOTIFY I SWEAR IF TAYLOR MAKES ME BUY THAT ALBUM,"Hey! We’ll have it available to you as soon as it’s available to us. For now, you can check out the singles here: https://t.co/3h0TnPWP0c. We'll pass your feedback on to the team! /SC",0.35
E115,"Hey @115888 I have an idea; why don't we encode playlist identifiers in the stream so we can ""Shazam"" for playlists? #dinneratarestaurrant","That's a creative idea! While we don't have this feature right now, we’d recommend showing your support for it on our community site here: https://t.co/CdI1SY9KZE. This helps our team see what features you'd like to see next! /SC",0.08
E140,"@115888 Your copy of David Lee Roth's Eat 'Em and Smile is using the Spanish files for the English album as well.

@SpotifyCares It looks like user error. Since the titles are in English and Spanish for both languages I may have downloaded the wrong version.","Thanks for the update! We're glad you were able to sort that out. If you run into any other issues or have more questions, don't hesitate to get back in touch. We're always here to help! /SC",0.38
E144,"Hey @115888 and @115940, why did you cancel my Hulu premium student subscription through Spotify? I no longer have access to Hulu through my Spotify account!","Hey! We're sorry to hear about the trouble with your Hulu access. Please send us a DM with your account email or username, and we'll look into this backstage for you. /SC",0.52
E151,"@SpotifyCares Someone's been hacking my spotify.  I finally Rick-rolled him... but would be great if there was some punishment for Mahamed Bouchaar (GT-190601)

@SpotifyCares Yup... already did that.  So far, he's gone.  Love you to shut down that dudes account!",Hey! We're sorry to hear about this. Please send us a DM with your account's email address or username so we can take a look backstage and ensure your account is secure. /SC,0.65
E152,@SpotifyCares why does all of my saved music just un-download sometimes,Hey! Sorry to hear your downloads are disappearing. Please check out the steps under “Downloads unexpectedly removed” here: https://t.co/38J7tFlIBF. Let us know if that helps! /SC,0.39
E153,"@115888 is constantly pausing and/or skipping my songs. 
I am not having fun today.","Hey, that's not cool! We'd like to help get your music back on track. Could you let us know which device you're using and if you've tried any troubleshooting steps yet? /SC",0.33
E155,"Why pay for @115888 when it wont let me log on !!!!!!

@SpotifyCares I got logged out and now when i try to log back in, it say i am experiancing problems try later",That's definitely not the experience we want for you. Could you please DM us your account email address or username? We'll take a look backstage to see what's causing the login trouble. /SC https://t.co/ldFdZRiNAt /SC,0.14
E164,"@115888 Hello
My account got stolen by changing the email. Origina name: KisuoX e-mail: __email__ Please change it back.",Hi! We're sorry to hear this. Please send us a DM with your account's email address and username so we can look into this for you right away. We'll take a look backstage! /SC https://t.co/ldFdZRiNAt /SC,0.28
E165,"@115888 @SpotifyCares how am I supposed to read that? (this is my ""daily mix"") https://t.co/LDuwPF4YEw

@115888 @SpotifyCares By the way the songs listed there (the readable part) are not the ones that actually play

@SpotifyCares Other playlists work fine. Is it normal that the ""daily mix"" one behaves differently than ""discover weekly""?

@SpotifyCares Even as I keep listening to the tracks, the ones near the bottom never become more readable, nor do any more songs show up in the list

@SpotifyCares They won't, that is the issue I'm reporting.",Thanks for the details. This definitely doesn't sound right. Could you please send us a DM with your account's email address or username? We'd like to take a closer look at what's happening with your Daily Mix. /SC https://t.co/ldFdZRiNAt /SC,0.01
E166,@SpotifyCares My account was hacked/compromised. I’ve regained access and changed my password but I noticed there were members added to my family that I do not know. I deleted the members I do not know. Just want to make sure I do not have to do anything else.,"Glad you regained access! Since you've changed your password and removed the unknown members, you've taken the right steps. For extra security, we recommend logging out of all devices via your account page on our website. Let us know if you need anything else! /SC",0.04
E169,@115888 HeLp my music keeps uninstalling and i dont know why 😩 then i gotta download all of it again and its killing me,"Oh no, that's definitely not ideal! Please check out the troubleshooting steps under “Downloads unexpectedly removed” here: https://t.co/38J7tFlIBF. Let us know if that helps! /SC",0.23
E172,"@115888 Feature Idea: Add a 'Hash-Tag your song Button' =&gt; good for users &amp; good for your ML recommenders &amp; gives  u more info $$

@115888 @115888 I suppose that you are already getting something like this info from semantic analysis of playlist names!? I bet you are!

@115888 If so, please use this added feature in your #ML recommenders. Why do I ask for this? You can improve your #imnotsayingitsucks recommender

@SpotifyCares Thanks! I tried to do that but I have no pathway to publish a question. Do I not have restricted forum permissions, or something like that?

@SpotifyCares I do indeed have a Spotify account and I""m logged in! Perhaps I'm blind, but I cannot find the correct 'click pathway' to be able to submit","Thanks for the feedback! We'd love for you to share this in our Community, where our team and other fans can see it: https://community.spotify.com. If you're having trouble posting, please reach out to us via DM so we can look into that for you! /SC",0.07
E173,@SpotifyCares  someone hacked into my account...,We're so sorry to hear this. Please send us a DM with your account email or username so we can look into this for you right away: https://spotify.com/contact-spotify /SC,0.54
