example_id,thread_id,customer_message,my_intent_label,escalate_or_auto,acceptable_reply_note,disagree_with_reply_note,spotify_reply,provisional_intent_guess,full_thread_reference
E001,19049,"@SpotifyCares Look, I know the geoip databases get @112074 wrong, but you KNOW MY BILLING ADDRESS. Stop using guesswork to market to me and USE MY PROVIDED INFORMATION. I have a right to rectification that you're making impossible. #DataProtection #GDPR https://t.co/OgDINBn6Uk

@SpotifyCares What more info do you need? The original tweet had it all.

@SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP?

@SpotifyCares I've told you what's happening. I keep getting this with you - I don't work for you, I've given you more information about your bug than you'd get from a non-technical person and certainly enough to diagnose the issue. You have my username, why do you need my ip and email??

@SpotifyCares Is this the way your support works, DM PII or you refuse to help?",Other / Unclear,escalate,"The customer has a GDPR/privacy concern that needs individual investigation, and the reply should address the concern without asking for unnecessary personal information publicly.",The historical reply kept asking for IP and email information without directly addressing the GDPR/right-to-rectification concern.,"@496327 Hi Matthew! Sorry to hear that. We'll help you out, just send us more info regarding your concern over DM and we'll start from there /SF https://t.co/ldFdZRiNAt

@496327 Got it. We need you to send us your IP address, email address and other info that we prefer you send us over DM. We'll be waiting /SF

@496327 We understand. We just want to take a closer look at your case and see what's specifically happening. Hope you DM us the info /SF https://t.co/ldFdZRiNAt

@496327 1: As the info we're requesting is private, it's better to get it through a DM. However, if you wish to stop receiving notifications...

@496327 2: through email, follow these steps: https://t.co/NikHCtXdso. Let's us know how you get on /SF",Subscription & Billing Issues,"[Tue Nov 14 17:00:02 +0000 2017] [Customer @496327]: @SpotifyCares Look, I know the geoip databases get @112074 wrong, but you KNOW MY BILLING ADDRESS. Stop using guesswork to market to me and USE MY PROVIDED INFORMATION. I have a right to rectification that you're making impossible. #DataProtection #GDPR https://t.co/OgDINBn6Uk 
[Tue Nov 14 18:16:14 +0000 2017] [Spotify Support @SpotifyCares]: @496327 Hi Matthew! Sorry to hear that. We'll help you out, just send us more info regarding your concern over DM and we'll start from there /SF https://t.co/ldFdZRiNAt 
[Tue Nov 14 19:03:13 +0000 2017] [Customer @496327]: @SpotifyCares What more info do you need? The original tweet had it all. 
[Tue Nov 14 19:17:10 +0000 2017] [Spotify Support @SpotifyCares]: @496327 Got it. We need you to send us your IP address, email address and other info that we prefer you send us over DM. We'll be waiting /SF 
[Tue Nov 14 19:43:12 +0000 2017] [Customer @496327]: @SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP? 
[Tue Nov 14 19:54:50 +0000 2017] [Spotify Support @SpotifyCares]: @496327 We understand. We just want to take a closer look at your case and see what's specifically happening. Hope you DM us the info /SF https://t.co/ldFdZRiNAt 
[Tue Nov 14 19:58:24 +0000 2017] [Customer @496327]: @SpotifyCares I've told you what's happening. I keep getting this with you - I don't work for you, I've given you more information about your bug than you'd get from a non-technical person and certainly enough to diagnose the issue. You have my username, why do you need my ip and email?? 
[Tue Nov 14 19:58:47 +0000 2017] [Customer @496327]: @SpotifyCares Is this the way your support works, DM PII or you refuse to help? 
[Tue Nov 14 21:15:05 +0000 2017] [Spotify Support @SpotifyCares]: @496327 1: As the info we're requesting is private, it's better to get it through a DM. However, if you wish to stop receiving notifications... 
[Tue Nov 14 21:15:13 +0000 2017] [Spotify Support @SpotifyCares]: @496327 2: through email, follow these steps: https://t.co/NikHCtXdso. Let's us know how you get on /SF"
E002,12134,I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in,Playlist & Library Management,auto,Acknowledge the request for access to previous Discover Weekly playlists and explain whether they can be recovered or viewed.,,"@737369 Hey, we hear you! We're passing on all feedback around this – thanks for sharing your thoughts 💚 /JP",Playlist & Library Management,"[Mon Oct 30 18:38:26 +0000 2017] [Customer @737369]: I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in 
[Mon Oct 30 20:51:35 +0000 2017] [Spotify Support @SpotifyCares]: @737369 Hey, we hear you! We're passing on all feedback around this – thanks for sharing your thoughts 💚 /JP"
E003,12606,"Hey @SpotifyCares did you take ""You shook me all night long"" off spotify just to piss me off? Why remove the greatest song ever made?

@SpotifyCares AC/DC....

@SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX",Content Availability & Licensing,auto,Explain that the track may be unavailable because of licensing and provide any relevant information about its availability.,,"@116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS

@116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS

@116394 Sorry about that. We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /JQ",Feature Requests & Device Support,"[Tue Oct 31 19:59:54 +0000 2017] [Customer @116394]: Hey @SpotifyCares did you take ""You shook me all night long"" off spotify just to piss me off? Why remove the greatest song ever made? 
[Tue Oct 31 22:45:23 +0000 2017] [Spotify Support @SpotifyCares]: @116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS 
[Tue Oct 31 22:46:10 +0000 2017] [Customer @116394]: @SpotifyCares AC/DC.... 
[Tue Oct 31 23:09:07 +0000 2017] [Spotify Support @SpotifyCares]: @116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS 
[Wed Nov 01 19:25:58 +0000 2017] [Customer @116394]: @SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX 
[Wed Nov 01 20:00:38 +0000 2017] [Spotify Support @SpotifyCares]: @116394 Sorry about that. We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /JQ"
E004,21682,"very confused atm. i'm listening to an FFDP album on @115888 and this song is on: https://t.co/385PHThNfV except it's very clearly Bad Company. the track labeled as Bad Company (https://t.co/No1xPvx7Of) is actually War is the Answer. pls fix @SpotifyCares

@SpotifyCares Still wrong on my end! https://t.co/iZFfqUcg6E Easy to tell since the official lengths of the songs are 4:22 for Bad Company and ~3:20 for War Is The Answer: https://t.co/46wLgDhPfI

@SpotifyCares I'm on an MSI laptop running Windows 10 and spotify version 1.0.67.582.g19436fa3

@SpotifyCares I didn't get a chance to reinstall but I checked on two other devices (my phone &amp; PC) and think I figured it out. If you search directly for the album, it's correct (https://t.co/FkL35W5T66 -&gt; https://t.co/8L81ukNYXK), but the artist page is wrong (https://t.co/itNnTnIsy7).",Playback & Technical Errors,escalate,"The issue persists across devices and appears to be a deeper track/metadata problem, so further investigation is needed.",The historical reply spent too much time on generic troubleshooting before recognizing that the problem persisted across devices.,"@766862 Hey there! We've checked it out, and everything seems to be fine on our end. Could you try logging out and logging back in again? That should fix the issue. Let us know how it goes 🙂 /KA

@766862 Hmm. Can you tell us your device, operating system, and the version of Spotify you're using? It'd also be great if you could try reinstalling the app by following the steps here: https://t.co/EqisDMwZAT /KA

@766862 Thanks! Just to check, have you already tried reinstalling the app? If so, can you let us know how it went? Also, if you have any other devices, we suggest checking the tracks over there to see if you stumble across the same issue. Keep us posted /KA

@766862 Hmm, that's odd! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",Content Availability & Licensing,"[Mon Nov 20 17:19:26 +0000 2017] [Customer @766862]: very confused atm. i'm listening to an FFDP album on @115888 and this song is on: https://t.co/385PHThNfV except it's very clearly Bad Company. the track labeled as Bad Company (https://t.co/No1xPvx7Of) is actually War is the Answer. pls fix @SpotifyCares 
[Mon Nov 20 18:47:04 +0000 2017] [Spotify Support @SpotifyCares]: @766862 Hey there! We've checked it out, and everything seems to be fine on our end. Could you try logging out and logging back in again? That should fix the issue. Let us know how it goes 🙂 /KA 
[Mon Nov 20 18:49:02 +0000 2017] [Customer @766862]: @SpotifyCares Still wrong on my end! https://t.co/iZFfqUcg6E Easy to tell since the official lengths of the songs are 4:22 for Bad Company and ~3:20 for War Is The Answer: https://t.co/46wLgDhPfI 
[Mon Nov 20 20:27:19 +0000 2017] [Spotify Support @SpotifyCares]: @766862 Hmm. Can you tell us your device, operating system, and the version of Spotify you're using? It'd also be great if you could try reinstalling the app by following the steps here: https://t.co/EqisDMwZAT /KA 
[Mon Nov 20 20:28:20 +0000 2017] [Customer @766862]: @SpotifyCares I'm on an MSI laptop running Windows 10 and spotify version 1.0.67.582.g19436fa3 
[Mon Nov 20 21:34:39 +0000 2017] [Spotify Support @SpotifyCares]: @766862 Thanks! Just to check, have you already tried reinstalling the app? If so, can you let us know how it went? Also, if you have any other devices, we suggest checking the tracks over there to see if you stumble across the same issue. Keep us posted /KA 
[Mon Nov 20 21:58:37 +0000 2017] [Customer @766862]: @SpotifyCares I didn't get a chance to reinstall but I checked on two other devices (my phone &amp; PC) and think I figured it out. If you search directly for the album, it's correct (https://t.co/FkL35W5T66 -&gt; https://t.co/8L81ukNYXK), but the artist page is wrong (https://t.co/itNnTnIsy7). 
[Mon Nov 20 22:27:34 +0000 2017] [Spotify Support @SpotifyCares]: @766862 Hmm, that's odd! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt"
E005,8525,@115888 can y'all please update your roku app,Feature Requests & Device Support,auto,Acknowledge the Roku app request and provide relevant update or support information.,,@348909 Hey there! Can you tell us what's happening exactly? We'll see what we can suggest /CH,Other / Unclear,"[Sat Oct 21 19:40:49 +0000 2017] [Customer @348909]: @115888 can y'all please update your roku app 
[Sat Oct 21 23:00:20 +0000 2017] [Spotify Support @SpotifyCares]: @348909 Hey there! Can you tell us what's happening exactly? We'll see what we can suggest /CH"
E006,2015,please please please please get rid of the 3k offline download limit my plants are dying @115888 @SpotifyCares,Feature Requests & Device Support,auto,Acknowledge the request to remove or increase the offline download limit and provide the relevant feedback option.,,"@200758 Hi Claudia, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/Z9OErWpTNz /GT",Playback & Technical Errors,"[Sun Oct 08 13:55:01 +0000 2017] [Customer @200758]: please please please please get rid of the 3k offline download limit my plants are dying @115888 @SpotifyCares 
[Sun Oct 08 15:03:42 +0000 2017] [Spotify Support @SpotifyCares]: @200758 Hi Claudia, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/Z9OErWpTNz /GT"
E007,14189,"@SpotifyCares Can't join the Premium of Family Plan.The error message is either: 4 @ Undefine - Oops something went wrong, please try again

@SpotifyCares Tried Solution: -Clear Cookies, Open in Incognito, Change Devices. Exactly same address. None of these help.",Subscription & Billing Issues,escalate,"The customer already tried several fixes, so the Family Plan issue needs account-level investigation.",,"@593569 Hey Mirza, help's here! Can you DM us your account's username and email address? We'll get this sorted /TY https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Sat Nov 04 11:08:36 +0000 2017] [Customer @593569]: @SpotifyCares Can't join the Premium of Family Plan.The error message is either: 4 @ Undefine - Oops something went wrong, please try again 
[Sat Nov 04 11:10:00 +0000 2017] [Customer @593569]: @SpotifyCares Tried Solution: -Clear Cookies, Open in Incognito, Change Devices. Exactly same address. None of these help. 
[Sat Nov 04 13:59:49 +0000 2017] [Spotify Support @SpotifyCares]: @593569 Hey Mirza, help's here! Can you DM us your account's username and email address? We'll get this sorted /TY https://t.co/ldFdZRiNAt"
E008,21791,Got to love having my @115888 account hacked ...😑 some random person playing Swedish pop music is brilliant https://t.co/oZtfSaZ5Kt,Account Access & Security,escalate,"The account appears compromised, so the reply should focus on securing and recovering the account.",,@769073 @116130 Hey Greg! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,Account Access & Security,"[Mon Nov 20 21:40:19 +0000 2017] [Customer @769073]: Got to love having my @115888 account hacked ...😑 some random person playing Swedish pop music is brilliant https://t.co/oZtfSaZ5Kt 
[Mon Nov 20 22:02:35 +0000 2017] [Spotify Support @SpotifyCares]: @769073 @116130 Hey Greg! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt"
E009,22306,"@115888 my account has been hacked! How has this happened. Please sort ASAP, I have emailed the email mailto:__email__

@115888 Please don’t tell me I will have lost all of my playlists??? I can’t login at all

@SpotifyCares",Account Access & Security,escalate,"The customer cannot access a hacked account, so recovery and account security should be handled by support.",,@779264 Hey! That doesn't sound good. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,Account Access & Security,"[Tue Nov 21 19:12:37 +0000 2017] [Customer @779264]: @115888 my account has been hacked! How has this happened. Please sort ASAP, I have emailed the email mailto:__email__ 
[Tue Nov 21 19:15:24 +0000 2017] [Customer @779264]: @115888 Please don’t tell me I will have lost all of my playlists??? I can’t login at all 
[Tue Nov 21 19:17:56 +0000 2017] [Customer @779264]: @SpotifyCares 
[Tue Nov 21 20:41:44 +0000 2017] [Spotify Support @SpotifyCares]: @779264 Hey! That doesn't sound good. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt"
E010,17169,@115888 why oh why is reputation not streaming😫,Content Availability & Licensing,auto,Explain why the album is not yet available and provide relevant availability information.,,"@653034 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /CO",Content Availability & Licensing,"[Fri Nov 10 14:46:42 +0000 2017] [Customer @653034]: @115888 why oh why is reputation not streaming😫 
[Fri Nov 10 15:31:01 +0000 2017] [Spotify Support @SpotifyCares]: @653034 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /CO"
