sample_number,example_id,customer_message,predicted_intent,drafted_reply,groundedness,factual_correctness,tone_empathy,actionability,conciseness,overall_average,human_notes
1,E002,I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in,Feature Requests & Device Support,We hear you! It's a great idea to be able to look back at past Discover Weekly playlists. We'd recommend sharing this as a suggestion on our Community site so our team can see it: https://community.spotify.com/t5/Idea-Submissions/idb-p/ideas_submissions /SC,5,5,5,4,5,4.8,
2,E007,"@SpotifyCares Can't join the Premium of Family Plan.The error message is either: 4 @ Undefine - Oops something went wrong, please try again

@SpotifyCares Tried Solution: -Clear Cookies, Open in Incognito, Change Devices. Exactly same address. None of these help.",Subscription & Billing Issues,"Hey there, we're sorry to hear you're having trouble joining the Family plan. Could you DM us your account email and the address you're using? We'll take a look backstage to see what's going on. /SC https://t.co/ldFdZRiNAt /SC",5,5,5,5,5,5.0,
3,E008,Got to love having my @115888 account hacked ...😑 some random person playing Swedish pop music is brilliant https://t.co/oZtfSaZ5Kt,Account Access & Security,Hey! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage to help you secure your account. /SC https://t.co/ldFdZRiNAt /SC,5,5,5,5,5,5.0,
4,E009,"@115888 my account has been hacked! How has this happened. Please sort ASAP, I have emailed the email mailto:__email__

@115888 Please don’t tell me I will have lost all of my playlists??? I can’t login at all

@SpotifyCares",Account Access & Security,We're sorry to hear this. Please DM us your account's username or email address so we can look into this for you right away. We'll do our best to help you regain access. /SC https://t.co/ldFdZRiNAt /SC,5,5,5,5,5,5.0,
5,E023,"@SpotifyCares could you please charge me again, cause at the first time, my limit credit card limit was exceeded...",Subscription & Billing Issues,Hey there! We can certainly look into this for you. Please DM us your account's email address so we can check under the hood: https://t.co/ldFdZRiNAt /SC,5,5,5,5,5,5.0,
6,E024,"Hi @115888 is there a way to block artists? I really don't want R Kelly in my life, thanks. Knowing him that momma rolling that body that got every man in here wishin is probably underage.",Feature Requests & Device Support,"Hey! We hear you. While this isn't a feature right now, we recommend showing your support for this idea on our community site here: https://t.co/CdI1SY9KZE /SC",5,5,5,4,5,4.8,
7,E025,@SpotifyCares I signed up for a student account but I was charged $9.99,Subscription & Billing Issues,Hey there! We're here to help with your student subscription. Could you please DM us the email address associated with your account? We'll take a look backstage and get this sorted for you. /SC,5,5,5,5,5,5.0,
8,E027,"My @115888 keeps pausing and turning itself off? (Nobody else is logged in / it’s not synced to anything, I’ve only had it a few days) 🤔

@SpotifyCares Ill have to let you know in a few days, cant tell so soon, it happens over a spread-out time period. Thnx for the advice, Ill give it a try!",Playback & Technical Errors,"Sorry to hear about the playback issues! Could you let us know which device, OS, and Spotify version you're using? Also, does this happen on both WiFi and mobile data? We'll see what we can suggest. /SC",5,5,5,5,5,5.0,
9,E029,"@115888 my account has been hacked and you mfks don't have a straightforward link to get help or report this issue.

@SpotifyCares Done",Account Access & Security,We're sorry to hear about this. Please send us a DM with your account's username or email address so we can take a look backstage and help you secure your account. /SC,5,5,5,5,5,5.0,
10,E036,@115888 why is Beyoncé's Lemonade album still not on Spotify? 🤧,Content Availability & Licensing,"We're always working to add more music, but we don't have info on this album right now. We'll pass your feedback along to our team! /SC",4,4,5,2,5,4.0,
11,E040,"@115888 please dont play ads with sound at the bottom of your web player while I'm trying to listen to down with the sickness.

@SpotifyCares Sometimes the web player changes ads, and the one it goes to has volume that interrupts the song being played.

@SpotifyCares Usually it stops but sometimes I have to refresh because it didn't stop and I don't want to listen to fifty seconds of non music audio

@SpotifyCares In the middle of down with the sickness.

@SpotifyCares Well... I haven't tried to log in under incognito because I find no need to to hide my musical tastes from the masses.

@SpotifyCares So no, I haven't logged into the web player with incognito or private browsing

@SpotifyCares Will do",Subscription & Billing Issues,Sorry for the interruption while you're rocking out! We'd like to look into this for you. Could you please DM us your account email address so we can investigate further? /SC,3,4,5,2,5,3.8,
