example_id,customer_message,predicted_intent,retrieved_grounding_examples,drafted_reply,historical_spotify_reply,my_acceptable_reply_note,my_disagree_with_reply_note
E001,"@SpotifyCares Look, I know the geoip databases get @112074 wrong, but you KNOW MY BILLING ADDRESS. Stop using guesswork to market to me and USE MY PROVIDED INFORMATION. I have a right to rectification that you're making impossible. #DataProtection #GDPR https://t.co/OgDINBn6Uk

@SpotifyCares What more info do you need? The original tweet had it all.

@SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP?

@SpotifyCares I've told you what's happening. I keep getting this with you - I don't work for you, I've given you more information about your bug than you'd get from a non-technical person and certainly enough to diagnose the issue. You have my username, why do you need my ip and email??

@SpotifyCares Is this the way your support works, DM PII or you refuse to help?",Playback & Technical Errors,"[{""rank"": 1, ""similarity"": 0.555, ""customer_message"": ""Has @SpotifyCares been DDOSD or something what the fuck"", ""spotify_reply"": ""@806603 Hey there! Everything should be running smoothly now. Let us know if this is still happening /LP""}, {""rank"": 2, ""similarity"": 0.495, ""customer_message"": ""@115888 Artist servers are down. Cant access.\n\n@SpotifyCares Nevrmind you guys fixed it."", ""spotify_reply"": ""@314615 Hey! Can you send us a screenshot of what you're seeing? Also, does this happen even when using an incognito window/other web browser? /SJ\n\n@314615 You're welcome! Give us a shout if you need anything else. We're... https://t.co/fgy8YvXib9 /SJ""}, {""rank"": 3, ""similarity"": 0.493, ""customer_message"": ""@SpotifyCares sent a reply in dm, can we fix the issue so I can stream soon? ☹️"", ""spotify_reply"": ""@305513 Hey Tony, we've just sent a DM your way. Let's carry on chatting there 🙂 /DH""}]","We hear your frustration. We ask for account details in DMs to securely investigate specific technical issues like location settings. If you'd prefer not to share info there, you can also reach out via our contact form at https://support.spotify.com/contact-spotify/ /SC","@496327 Hi Matthew! Sorry to hear that. We'll help you out, just send us more info regarding your concern over DM and we'll start from there /SF https://t.co/ldFdZRiNAt

@496327 Got it. We need you to send us your IP address, email address and other info that we prefer you send us over DM. We'll be waiting /SF

@496327 We understand. We just want to take a closer look at your case and see what's specifically happening. Hope you DM us the info /SF https://t.co/ldFdZRiNAt

@496327 1: As the info we're requesting is private, it's better to get it through a DM. However, if you wish to stop receiving notifications...

@496327 2: through email, follow these steps: https://t.co/NikHCtXdso. Let's us know how you get on /SF","The customer has a GDPR/privacy concern that needs individual investigation, and the reply should address the concern without asking for unnecessary personal information publicly.",The historical reply kept asking for IP and email information without directly addressing the GDPR/right-to-rectification concern.
E002,I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in,Feature Requests & Device Support,"[{""rank"": 1, ""similarity"": 0.639, ""customer_message"": ""@115888 Having a 'thumbs up/ thumbs down' button on #DiscoveryWeekly playlist may help you refine the weekly selection, even more, for the user. #JustAThought"", ""spotify_reply"": ""@679165 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF""}, {""rank"": 2, ""similarity"": 0.543, ""customer_message"": ""Hey, @SpotifyCares love that you added the ability to like or dislike songs in Discover Playlists. Looking forward to seeing how this improves my list in the future.\n\n@SpotifyCares No, I was saying that I noticed that it's now a feature when I play my Discover list and just wanted to let you know I appreciate it!"", ""spotify_reply"": ""@813005 Hey, we can see how that’d be useful! We’d recommend suggesting it in our Community where you can get support from other fans: https://t.co/D6JsbrPT3P /JM\n\n@813005 Oops, apologies for the oversight. We're glad that you liked it! Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 💚 /JM""}, {""rank"": 3, ""similarity"": 0.508, ""customer_message"": ""Why don’t Spotify do a ‘recently added’ like iTunes? Why’s Spotify shuffle so poor? Cmon guys @SpotifyCares"", ""spotify_reply"": ""@472404 Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /MQ""}]",We hear you! It's a great idea to be able to look back at past Discover Weekly playlists. We'd recommend sharing this as a suggestion on our Community site so our team can see it: https://community.spotify.com/t5/Idea-Submissions/idb-p/ideas_submissions /SC,"@737369 Hey, we hear you! We're passing on all feedback around this – thanks for sharing your thoughts 💚 /JP",Acknowledge the request for access to previous Discover Weekly playlists and explain whether they can be recovered or viewed.,nan
E003,"Hey @SpotifyCares did you take ""You shook me all night long"" off spotify just to piss me off? Why remove the greatest song ever made?

@SpotifyCares AC/DC....

@SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX",Content Availability & Licensing,"[{""rank"": 1, ""similarity"": 0.538, ""customer_message"": ""@SpotifyCares please bring back BTOB's Complete album :-("", ""spotify_reply"": ""@651814 Hey Julia! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /MQ""}, {""rank"": 2, ""similarity"": 0.504, ""customer_message"": "". @115888 you got me confused. For a split second I wondered why @30368 and @22339 's song was titled Camila Cabello - Havana https://t.co/TYWqjesr45\n\n@SpotifyCares Restarted phone and connections. Still the same. I dont mind tho, just found it funny. https://t.co/UEeFm3cjGF\n\n@SpotifyCares  https://t.co/ERLxIw0uMA\n\n@SpotifyCares 5.1 and I think this is the 2nd time it happened or was aware of\n\n@SpotifyCares Thank you"", ""spotify_reply"": ""@205702 Hi there! Does restarting your device and your connection help? Which Spotify version are you using? /NQ\n\n@205702 Which Android version does your device currently have? Also, is this happening often? /NQ\n\n@205702 Hmm. It's not ideal, but the exact steps here should help out: https://t.co/EqisDMwZAT /NQ\n\n@205702 You're welcome! In case you have other concerns, don't hesitate to get back in touch. We're always... https://t.co/zOXI69QSqg /TM""}, {""rank"": 3, ""similarity"": 0.491, ""customer_message"": ""Bruh what happened to the Take Care album?! @115888 @6860 https://t.co/MqjrFSM1Tj"", ""spotify_reply"": ""@722554 Hi there! Sometimes content is temporarily removed due to licensing, but we hope to have it back soon: https://t.co/VMrgnGpB4G. Hope this info helps /GK""}]","We'd love to have all music available, but availability depends on agreements with rights holders. You can keep an eye on our page here for more info on how content works: https://support.spotify.com/article/content-availability/ /SC","@116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS

@116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS

@116394 Sorry about that. We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /JQ",Explain that the track may be unavailable because of licensing and provide any relevant information about its availability.,nan
E004,"very confused atm. i'm listening to an FFDP album on @115888 and this song is on: https://t.co/385PHThNfV except it's very clearly Bad Company. the track labeled as Bad Company (https://t.co/No1xPvx7Of) is actually War is the Answer. pls fix @SpotifyCares

@SpotifyCares Still wrong on my end! https://t.co/iZFfqUcg6E Easy to tell since the official lengths of the songs are 4:22 for Bad Company and ~3:20 for War Is The Answer: https://t.co/46wLgDhPfI

@SpotifyCares I'm on an MSI laptop running Windows 10 and spotify version 1.0.67.582.g19436fa3

@SpotifyCares I didn't get a chance to reinstall but I checked on two other devices (my phone &amp; PC) and think I figured it out. If you search directly for the album, it's correct (https://t.co/FkL35W5T66 -&gt; https://t.co/8L81ukNYXK), but the artist page is wrong (https://t.co/itNnTnIsy7).",Content Availability & Licensing,"[{""rank"": 1, ""similarity"": 0.544, ""customer_message"": "". @115888 you got me confused. For a split second I wondered why @30368 and @22339 's song was titled Camila Cabello - Havana https://t.co/TYWqjesr45\n\n@SpotifyCares Restarted phone and connections. Still the same. I dont mind tho, just found it funny. https://t.co/UEeFm3cjGF\n\n@SpotifyCares  https://t.co/ERLxIw0uMA\n\n@SpotifyCares 5.1 and I think this is the 2nd time it happened or was aware of\n\n@SpotifyCares Thank you"", ""spotify_reply"": ""@205702 Hi there! Does restarting your device and your connection help? Which Spotify version are you using? /NQ\n\n@205702 Which Android version does your device currently have? Also, is this happening often? /NQ\n\n@205702 Hmm. It's not ideal, but the exact steps here should help out: https://t.co/EqisDMwZAT /NQ\n\n@205702 You're welcome! In case you have other concerns, don't hesitate to get back in touch. We're always... https://t.co/zOXI69QSqg /TM""}, {""rank"": 2, ""similarity"": 0.533, ""customer_message"": ""@SpotifyCares why are there random songs on my spotify account that cant be played? ive played them a bunch of times before"", ""spotify_reply"": ""@594799 Hi! Are you getting an error message? Sending us your device's make/model and the versions of its OS and the app would be great too /CX""}, {""rank"": 3, ""similarity"": 0.532, ""customer_message"": ""@115888 Hi all, thought you'd like to correct your bio on @95529 from \""White\"" to 'Wise'\n\n@SpotifyCares It's nothing to do with the platform of which I'm using, you've not put the correct surname for the artist that I've tagged."", ""spotify_reply"": ""@340612 Hey there! What's happening exactly? Could you let us know the device/OS you're using? We'll see what we can suggest /DF\n\n@340612 Thanks. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /""}]",Thanks for the detailed info! We've passed this along to our content team to investigate the metadata discrepancy on the artist page. We appreciate you bringing this to our attention! /SC,"@766862 Hey there! We've checked it out, and everything seems to be fine on our end. Could you try logging out and logging back in again? That should fix the issue. Let us know how it goes 🙂 /KA

@766862 Hmm. Can you tell us your device, operating system, and the version of Spotify you're using? It'd also be great if you could try reinstalling the app by following the steps here: https://t.co/EqisDMwZAT /KA

@766862 Thanks! Just to check, have you already tried reinstalling the app? If so, can you let us know how it went? Also, if you have any other devices, we suggest checking the tracks over there to see if you stumble across the same issue. Keep us posted /KA

@766862 Hmm, that's odd! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt","The issue persists across devices and appears to be a deeper track/metadata problem, so further investigation is needed.",The historical reply spent too much time on generic troubleshooting before recognizing that the problem persisted across devices.
E005,@115888 can y'all please update your roku app,Feature Requests & Device Support,"[{""rank"": 1, ""similarity"": 0.564, ""customer_message"": ""@115888 you should have frequencies of radio stations"", ""spotify_reply"": ""@496732 We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf /JN""}, {""rank"": 2, ""similarity"": 0.56, ""customer_message"": ""@116130 Any chance of an apple tv app anytime soon?"", ""spotify_reply"": ""@520153 Hey Jonathan! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /GU""}, {""rank"": 3, ""similarity"": 0.54, ""customer_message"": ""Hey @115888 when’re you releasing the #iPhoneX version of your app?"", ""spotify_reply"": ""@707889 Hey, we’re working on it as we speak. Stay tuned! /MA""}]","We're always working to improve our app across all devices. While we don't have any specific updates to share for Roku right now, we'll be sure to pass your feedback along to the right team! /SC",@348909 Hey there! Can you tell us what's happening exactly? We'll see what we can suggest /CH,Acknowledge the Roku app request and provide relevant update or support information.,nan
E006,please please please please get rid of the 3k offline download limit my plants are dying @115888 @SpotifyCares,Feature Requests & Device Support,"[{""rank"": 1, ""similarity"": 0.505, ""customer_message"": ""@115888 please put the lyrics back in the desktop app i need it\n\n@SpotifyCares ITS BEEN OVER A YEAR AGO COME ON\n\n@SpotifyCares thanks bae"", ""spotify_reply"": ""@451866 Hi, we hear you! Any updates will be posted at https://t.co/osebD49Qxe. We'd recommend voting to support the idea, too /RB\n\n@451866 We understand how you feel. Don't worry, we'll let the right team know it's something you'd like to see /RB\n\n@451866 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /RB""}, {""rank"": 2, ""similarity"": 0.494, ""customer_message"": ""In desperate need of this Spotify iPhone X update"", ""spotify_reply"": ""@529915 We don't have anything to share yet, but we'll be sure to post updates on this. Give us a shout if you need anything else /CO""}, {""rank"": 3, ""similarity"": 0.457, ""customer_message"": ""@115888 Please bring Spotify to #BlackBerry10"", ""spotify_reply"": ""@254216 Hey there! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks /NQ""}]","We hear you! We're always looking to improve, and we'll make sure to pass your feedback about the offline download limit to our team. You can also share your thoughts on our Community page here: https://t.co/WgY7GXI7jf /SC","@200758 Hi Claudia, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/Z9OErWpTNz /GT",Acknowledge the request to remove or increase the offline download limit and provide the relevant feedback option.,nan
E007,"@SpotifyCares Can't join the Premium of Family Plan.The error message is either: 4 @ Undefine - Oops something went wrong, please try again

@SpotifyCares Tried Solution: -Clear Cookies, Open in Incognito, Change Devices. Exactly same address. None of these help.",Subscription & Billing Issues,"[{""rank"": 1, ""similarity"": 0.73, ""customer_message"": ""@SpotifyCares I'm having issues my family subscription please help asap!"", ""spotify_reply"": ""@727606 Hey there, help's here! Could you DM us exactly what's happening? We'll see what we can suggest /CG https://t.co/ldFdZRiNAt""}, {""rank"": 2, ""similarity"": 0.729, ""customer_message"": ""Hey @SpotifyCares, is there any way to change a premium account to a family plan?"", ""spotify_reply"": ""@377160 Hey! Can you DM us your account's username and email address? We'll see what we can suggest /JL https://t.co/ldFdZRiNAt""}, {""rank"": 3, ""similarity"": 0.725, ""customer_message"": ""@SpotifyCares cant send invitesfor my family https://t.co/aNYWfVaQ8r charged me quickly.Getting pissed.Clicked the family and nothing appear"", ""spotify_reply"": ""@501411 Hey Patrick! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt""}]","Hey there, we're sorry to hear you're having trouble joining the Family plan. Could you DM us your account email and the address you're using? We'll take a look backstage to see what's going on. /SC https://t.co/ldFdZRiNAt /SC","@593569 Hey Mirza, help's here! Can you DM us your account's username and email address? We'll get this sorted /TY https://t.co/ldFdZRiNAt","The customer already tried several fixes, so the Family Plan issue needs account-level investigation.",nan
E008,Got to love having my @115888 account hacked ...😑 some random person playing Swedish pop music is brilliant https://t.co/oZtfSaZ5Kt,Account Access & Security,"[{""rank"": 1, ""similarity"": 0.656, ""customer_message"": ""I'm pissed because someone hacked my @115888 and now all my playlists are gone. #trash"", ""spotify_reply"": ""@653045 Hey! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt""}, {""rank"": 2, ""similarity"": 0.601, ""customer_message"": ""@115888 hello I believe my account has been compromised"", ""spotify_reply"": ""@233791 Hey Fred, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt""}, {""rank"": 3, ""similarity"": 0.549, ""customer_message"": ""@115888 someone is hacking my account; Why can't I readily find a support phone # or email to fix it? It's shitty and you know it."", ""spotify_reply"": ""@364275 1: Hi JoAnne! Sorry to hear that. We don't have phone support right now, but we'll be glad to help you via Twitter. You can also get... /AU\n\n@364275 2: in touch with our Email team at https://t.co/XGIC7aZtMa. Let us know how you'd like to proceed /AU""}]",Hey! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage to help you secure your account. /SC https://t.co/ldFdZRiNAt /SC,@769073 @116130 Hey Greg! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,"The account appears compromised, so the reply should focus on securing and recovering the account.",nan
E009,"@115888 my account has been hacked! How has this happened. Please sort ASAP, I have emailed the email mailto:__email__

@115888 Please don’t tell me I will have lost all of my playlists??? I can’t login at all

@SpotifyCares",Account Access & Security,"[{""rank"": 1, ""similarity"": 0.804, ""customer_message"": ""@SpotifyCares my account has been hijacked and they also changed my email. I just reset my password tho and I hope it won’t happen again. I’m a premium user so please take this as a serious matter now that I know some ppl are complaining the same."", ""spotify_reply"": ""@442196 Hey there! We're sorry to hear that. Could you send us your account's username or email address via DM? We'll take a look backstage /LP https://t.co/ldFdZR1cbT""}, {""rank"": 2, ""similarity"": 0.783, ""customer_message"": ""I'm pissed because someone hacked my @115888 and now all my playlists are gone. #trash"", ""spotify_reply"": ""@653045 Hey! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt""}, {""rank"": 3, ""similarity"": 0.777, ""customer_message"": ""@SpotifyCares You guys deleted all my playlists when I asked you to disconnect all the extra devices that were using all my accounts.. I've been building those for five years. Please fix!\n\n@SpotifyCares and you downgraded my account in the process.. no email response, just completely reset my account.. ridiculous!!!"", ""spotify_reply"": ""@709746 Hey Nathan! Help's here. Could you DM us your account's username or email address? We'll take a look backstage /TM https://t.co/ldFdZRiNAt""}]",We're sorry to hear this. Please DM us your account's username or email address so we can look into this for you right away. We'll do our best to help you regain access. /SC https://t.co/ldFdZRiNAt /SC,@779264 Hey! That doesn't sound good. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,"The customer cannot access a hacked account, so recovery and account security should be handled by support.",nan
E010,@115888 why oh why is reputation not streaming😫,Content Availability & Licensing,"[{""rank"": 1, ""similarity"": 0.719, ""customer_message"": ""When is #reputation coming to @115888? 😭"", ""spotify_reply"": ""@393512 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /NH""}, {""rank"": 2, ""similarity"": 0.708, ""customer_message"": ""Why isn’t #reputation on @115888 or @116380 yet? Like Come on! It released 2 days ago and it still isn’t there 😭😭"", ""spotify_reply"": ""@280370 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /JU""}, {""rank"": 3, ""similarity"": 0.6, ""customer_message"": ""@115888 where is 'Reputation'?! https://t.co/fc04Wpbakl\n\n@SpotifyCares I already have heard them.. I want to listen to the album\n\n@SpotifyCares I hope so"", ""spotify_reply"": ""@665442 Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /DF\n\n@665442 Fingers crossed we'll be able to have it soon! Don't worry, we'll pass your feedback on to the team /KM\n\n@665442 We'll do our best to have it available to you and other listeners. If there's anything else, just let us know! /KM""}]","Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /SC","@653034 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /CO",Explain why the album is not yet available and provide relevant availability information.,nan
