sample_number,example_id,customer_message,predicted_intent,drafted_reply,groundedness,factual_correctness,tone_empathy,actionability,conciseness,overall_average,human_notes
1,E002,I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in,Playlist & Library Management,Hey! Discover Weekly refreshes every Monday and previous weeks aren't archived automatically. A good tip is to save your favorites or use IFTTT to automatically archive each week! /SC,5,4,5,4,5,4.6,
2,E007,"@SpotifyCares Can't join the Premium of Family Plan.The error message is either: 4 @ Undefine - Oops something went wrong, please try again

@SpotifyCares Tried Solution: -Clear Cookies, Open in Incognito, Change Devices. Exactly same address. None of these help.",Account Access & Security,Hey! We'd love to help you get back into your account. Please drop us a DM with your account details and we'll take a closer look /SC https://t.co/ldFdZRiNAt,5,5,5,5,5,5.0,
3,E008,Got to love having my @115888 account hacked ...😑 some random person playing Swedish pop music is brilliant https://t.co/oZtfSaZ5Kt,Account Access & Security,Hey there! We take account security very seriously. Please send us a DM right away with your account's email address or username so our team can help secure and recover your account /SC https://t.co/ldFdZRiNAt,5,5,5,5,5,5.0,
4,E009,"@115888 my account has been hacked! How has this happened. Please sort ASAP, I have emailed the email mailto:__email__

@115888 Please don’t tell me I will have lost all of my playlists??? I can’t login at all

@SpotifyCares",Account Access & Security,Hey there! We take account security very seriously. Please send us a DM right away with your account's email address or username so our team can help secure and recover your account /SC https://t.co/ldFdZRiNAt,5,5,5,5,5,5.0,
5,E023,"@SpotifyCares could you please charge me again, cause at the first time, my limit credit card limit was exceeded...",Subscription & Billing Issues,Hi! Help's here. Can you DM us your account's email address so we can take a look backstage at your subscription? /SC https://t.co/ldFdZRiNAt,5,5,5,5,5,5.0,
6,E024,"Hi @115888 is there a way to block artists? I really don't want R Kelly in my life, thanks. Knowing him that momma rolling that body that got every man in here wishin is probably underage.",Feature Requests & Device Support,"Hey! While there isn't a direct 'block artist' button right now, you can tap 'Don't play this artist' in your Release Radar and Daily Mixes. Thanks for the feedback! /SC",4,4,5,4,5,4.4,
7,E025,@SpotifyCares I signed up for a student account but I was charged $9.99,Subscription & Billing Issues,Hi there! Sorry for the confusion with your Student discount. Please DM us your account email so we can verify your student status backstage and get your billing sorted /SC https://t.co/ldFdZRiNAt,5,5,5,5,5,5.0,
8,E027,"My @115888 keeps pausing and turning itself off? (Nobody else is logged in / it’s not synced to anything, I’ve only had it a few days) 🤔

@SpotifyCares Ill have to let you know in a few days, cant tell so soon, it happens over a spread-out time period. Thnx for the advice, Ill give it a try!",Account Access & Security,Hey! We'd love to help you get back into your account. Please drop us a DM with your account details and we'll take a closer look /SC https://t.co/ldFdZRiNAt,2,5,5,2,5,3.8,
9,E029,"@115888 my account has been hacked and you mfks don't have a straightforward link to get help or report this issue.

@SpotifyCares Done",Account Access & Security,Hey there! We take account security very seriously. Please send us a DM right away with your account's email address or username so our team can help secure and recover your account /SC https://t.co/ldFdZRiNAt,5,5,5,5,5,5.0,
10,E036,@115888 why is Beyoncé's Lemonade album still not on Spotify? 🤧,Content Availability & Licensing,"Hey! We'd love to have Beyoncé's Lemonade on Spotify, but music availability depends on agreements with rights holders and artists. We'll let you know if that changes! /SC",4,4,5,3,5,4.2,
